log_id,user_id,date,day_of_week,is_weekend,time_of_day,app_name,tab_or_content_name,category,content_type,time_watched_min,session_count,avg_session_length_min,device_type,opened_via_notification,app_switches_during_session,addiction_score,addictive_label,prev_day_same_app_usage_min,daily_total_screen_time_min,daily_quality_score,weekly_total_screen_time_min,user_profile,iso_week
696,U132,2026-06-04,Thursday,False,Night,PUBG Mobile,,Games,Game,79.7,5,15.9,Mobile,False,5,100.0,Addictive,88.2,671.0,4.1,2747.4,heavy_addictive,23
697,U132,2026-06-04,Thursday,False,Night,PUBG Mobile,,Games,Game,127.0,1,127.0,Desktop,True,1,100.0,Addictive,79.7,671.0,4.1,2747.4,heavy_addictive,23
698,U132,2026-06-04,Thursday,False,Night,Free Fire,,Games,Game,224.8,4,56.2,Mobile,True,4,100.0,Addictive,,671.0,4.1,2747.4,heavy_addictive,23
699,U132,2026-06-04,Thursday,False,Afternoon,WhatsApp,Family Group,Communication,Chat,3.0,1,3.0,Mobile,True,3,17.1,Non-addictive,24.6,671.0,4.1,2747.4,heavy_addictive,23
700,U133,2026-06-04,Thursday,False,Afternoon,Khan Academy,,Study,Video,33.7,2,16.8,Desktop,False,1,4.1,Non-addictive,,120.4,100.0,587.2,productive,23
701,U133,2026-06-04,Thursday,False,Afternoon,TikTok,For You Feed,Entertainment,Video,8.3,4,2.1,Mobile,False,0,45.9,Non-addictive,18.3,120.4,100.0,587.2,productive,23
702,U133,2026-06-04,Thursday,False,Morning,Khan Academy,,Study,Video,50.5,2,25.2,Tablet,False,3,14.6,Non-addictive,33.7,120.4,100.0,587.2,productive,23
703,U133,2026-06-04,Thursday,False,Afternoon,WhatsApp,Family Group,Communication,Chat,27.9,1,27.9,Mobile,False,4,5.8,Non-addictive,,120.4,100.0,587.2,productive,23
704,U134,2026-06-04,Thursday,False,Evening,Spotify,Chill Playlist,Entertainment,Audio,17.1,1,17.1,Mobile,False,0,2.2,Non-addictive,,67.5,100.0,598.9,productive,23
705,U134,2026-06-04,Thursday,False,Evening,TikTok,For You Feed,Entertainment,Video,9.4,3,3.1,Mobile,False,0,34.6,Non-addictive,6.6,67.5,100.0,598.9,productive,23
706,U134,2026-06-04,Thursday,False,Afternoon,Snapchat,Stories,Social Media,Video,35.7,1,35.7,Desktop,False,0,22.6,Non-addictive,,67.5,100.0,598.9,productive,23
707,U134,2026-06-04,Thursday,False,Morning,Instagram,DM Chats,Social Media,Chat,5.3,3,1.8,Mobile,False,0,28.1,Non-addictive,,67.5,100.0,598.9,productive,23
708,U135,2026-06-04,Thursday,False,Night,WhatsApp,Family Group,Communication,Chat,45.1,1,45.1,Desktop,False,1,5.0,Non-addictive,,94.3,100.0,614.6,productive,23
709,U135,2026-06-04,Thursday,False,Afternoon,Instagram,Reels Feed,Social Media,Video,16.3,2,8.2,Mobile,False,0,44.1,Non-addictive,5.7,94.3,100.0,614.6,productive,23
710,U135,2026-06-04,Thursday,False,Afternoon,Free Fire,,Games,Game,32.9,1,32.9,Mobile,True,0,35.9,Non-addictive,36.6,94.3,100.0,614.6,productive,23
711,U136,2026-06-04,Thursday,False,Afternoon,YouTube,Cooking Recipe,Self-Improvement,Video,54.9,2,27.5,Mobile,False,0,26.1,Non-addictive,50.4,160.9,55.9,803.2,balanced,23
712,U136,2026-06-04,Thursday,False,Afternoon,Khan Academy,,Study,Video,35.1,1,35.1,Mobile,False,1,14.6,Non-addictive,11.4,160.9,55.9,803.2,balanced,23
713,U136,2026-06-04,Thursday,False,Afternoon,Snapchat,Stories,Social Media,Video,70.9,4,17.7,Mobile,False,4,67.5,Addictive,26.4,160.9,55.9,803.2,balanced,23
714,U137,2026-06-04,Thursday,False,Morning,Spotify,Chill Playlist,Entertainment,Audio,7.9,3,2.6,Desktop,False,1,33.5,Non-addictive,13.3,449.6,24.4,2971.4,heavy_addictive,23
715,U137,2026-06-04,Thursday,False,Night,Free Fire,,Games,Game,192.2,2,96.1,Tablet,True,3,100.0,Addictive,270.5,449.6,24.4,2971.4,heavy_addictive,23
716,U137,2026-06-04,Thursday,False,Afternoon,Notion,,Productivity,Notes,40.0,3,13.3,Desktop,False,2,11.5,Non-addictive,,449.6,24.4,2971.4,heavy_addictive,23
717,U137,2026-06-04,Thursday,False,Night,Snapchat,Stories,Social Media,Video,10.2,4,2.5,Mobile,True,4,100.0,Addictive,72.4,449.6,24.4,2971.4,heavy_addictive,23
718,U137,2026-06-04,Thursday,False,Evening,Instagram,DM Chats,Social Media,Chat,5.5,2,2.7,Mobile,False,3,40.5,Non-addictive,32.2,449.6,24.4,2971.4,heavy_addictive,23
719,U137,2026-06-04,Thursday,False,Afternoon,Chrome,gmail,Productivity,Webmail,15.1,1,15.1,Tablet,False,2,14.7,Non-addictive,55.0,449.6,24.4,2971.4,heavy_addictive,23
720,U137,2026-06-04,Thursday,False,Afternoon,Duolingo,,Skill-Development,App,41.2,1,41.2,Desktop,False,2,44.7,Non-addictive,19.3,449.6,24.4,2971.4,heavy_addictive,23
721,U137,2026-06-04,Thursday,False,Evening,TikTok,For You Feed,Entertainment,Video,137.5,2,68.8,Desktop,False,10,100.0,Addictive,118.8,449.6,24.4,2971.4,heavy_addictive,23
722,U138,2026-06-04,Thursday,False,Evening,Netflix,TV Series Binge,Entertainment,Video,36.7,1,36.7,Mobile,True,1,42.3,Non-addictive,,47.5,100.0,292.1,light_user,23
723,U138,2026-06-04,Thursday,False,Afternoon,WhatsApp,Family Group,Communication,Chat,10.8,3,3.6,Mobile,False,1,1.1,Non-addictive,21.6,47.5,100.0,292.1,light_user,23
724,U139,2026-06-04,Thursday,False,Night,Candy Crush,,Games,Game,81.9,1,81.9,Mobile,False,1,75.2,Addictive,,135.1,39.4,1196.1,balanced,23
725,U139,2026-06-04,Thursday,False,Afternoon,Duolingo,,Skill-Development,App,10.3,1,10.3,Mobile,False,0,14.6,Non-addictive,,135.1,39.4,1196.1,balanced,23
726,U139,2026-06-04,Thursday,False,Evening,Chrome,random-blog,Entertainment,Website,35.3,1,35.3,Desktop,True,1,22.0,Non-addictive,35.9,135.1,39.4,1196.1,balanced,23
727,U139,2026-06-04,Thursday,False,Afternoon,YouTube,News Roundup,News,Video,7.6,1,7.6,Desktop,False,2,20.1,Non-addictive,15.1,135.1,39.4,1196.1,balanced,23
728,U100,2026-06-05,Friday,False,Afternoon,Coursera,,Study,Video,18.3,1,18.3,Desktop,False,0,9.5,Non-addictive,38.9,136.4,24.4,1514.6,balanced,23
729,U100,2026-06-05,Friday,False,Afternoon,Spotify,Chill Playlist,Entertainment,Audio,15.0,1,15.0,Desktop,False,1,27.0,Non-addictive,14.2,136.4,24.4,1514.6,balanced,23
730,U100,2026-06-05,Friday,False,Night,TikTok,For You Feed,Entertainment,Video,21.1,1,21.1,Mobile,True,1,80.2,Addictive,80.0,136.4,24.4,1514.6,balanced,23
731,U100,2026-06-05,Friday,False,Night,Free Fire,,Games,Game,82.0,3,27.3,Tablet,True,5,76.7,Addictive,,136.4,24.4,1514.6,balanced,23
732,U101,2026-06-05,Friday,False,Afternoon,Free Fire,,Games,Game,40.1,1,40.1,Mobile,False,1,40.9,Non-addictive,6.9,108.3,100.0,591.5,productive,23
733,U101,2026-06-05,Friday,False,Afternoon,Instagram,DM Chats,Social Media,Chat,45.7,3,15.2,Mobile,False,1,20.9,Non-addictive,56.5,108.3,100.0,591.5,productive,23
734,U101,2026-06-05,Friday,False,Morning,Candy Crush,,Games,Game,7.8,1,7.8,Desktop,False,1,33.8,Non-addictive,,108.3,100.0,591.5,productive,23
735,U101,2026-06-05,Friday,False,Afternoon,WhatsApp,Family Group,Communication,Chat,14.7,2,7.4,Mobile,False,0,0.6,Non-addictive,,108.3,100.0,591.5,productive,23
736,U102,2026-06-05,Friday,False,Night,PUBG Mobile,,Games,Game,21.4,3,7.1,Desktop,False,4,54.2,Addictive,,21.4,0.0,194.6,light_user,23
737,U103,2026-06-05,Friday,False,Afternoon,Duolingo,,Skill-Development,App,12.7,1,12.7,Desktop,False,1,19.5,Non-addictive,,65.4,100.0,890.6,balanced,23
738,U103,2026-06-05,Friday,False,Night,Instagram,DM Chats,Social Media,Chat,20.1,1,20.1,Mobile,False,0,25.5,Non-addictive,65.6,65.4,100.0,890.6,balanced,23
739,U103,2026-06-05,Friday,False,Morning,YouTube,Study Lecture - Physics,Study,Video,32.6,2,16.3,Desktop,False,2,9.8,Non-addictive,,65.4,100.0,890.6,balanced,23
740,U104,2026-06-05,Friday,False,Afternoon,Netflix,Documentary,Self-Improvement,Video,3.0,1,3.0,Tablet,False,1,42.7,Non-addictive,46.7,370.2,17.2,3278.2,heavy_addictive,23
741,U104,2026-06-05,Friday,False,Evening,Duolingo,,Skill-Development,App,16.9,2,8.4,Mobile,False,0,17.3,Non-addictive,33.5,370.2,17.2,3278.2,heavy_addictive,23
742,U104,2026-06-05,Friday,False,Evening,Netflix,TV Series Binge,Entertainment,Video,306.4,3,102.1,Desktop,True,6,100.0,Addictive,3.0,370.2,17.2,3278.2,heavy_addictive,23
743,U104,2026-06-05,Friday,False,Afternoon,Duolingo,,Skill-Development,App,13.7,1,13.7,Mobile,False,0,20.8,Non-addictive,16.9,370.2,17.2,3278.2,heavy_addictive,23
744,U104,2026-06-05,Friday,False,Afternoon,Netflix,Documentary,Self-Improvement,Video,30.2,1,30.2,Desktop,False,0,34.0,Non-addictive,306.4,370.2,17.2,3278.2,heavy_addictive,23
745,U105,2026-06-05,Friday,False,Afternoon,Netflix,Documentary,Self-Improvement,Video,29.2,1,29.2,Desktop,False,0,34.1,Non-addictive,97.6,437.9,34.2,3004.0,heavy_addictive,23
746,U105,2026-06-05,Friday,False,Afternoon,Chrome,gmail,Productivity,Webmail,30.0,1,30.0,Desktop,False,1,6.7,Non-addictive,128.2,437.9,34.2,3004.0,heavy_addictive,23
747,U105,2026-06-05,Friday,False,Morning,WhatsApp,Family Group,Communication,Chat,43.4,3,14.5,Tablet,False,1,26.1,Non-addictive,11.3,437.9,34.2,3004.0,heavy_addictive,23
748,U105,2026-06-05,Friday,False,Night,TikTok,For You Feed,Entertainment,Video,15.2,6,2.5,Tablet,True,7,100.0,Addictive,,437.9,34.2,3004.0,heavy_addictive,23
749,U105,2026-06-05,Friday,False,Night,Netflix,TV Series Binge,Entertainment,Video,162.8,3,54.3,Mobile,True,3,100.0,Addictive,29.2,437.9,34.2,3004.0,heavy_addictive,23
750,U105,2026-06-05,Friday,False,Morning,Chrome,random-blog,Entertainment,Website,47.2,1,47.2,Mobile,True,0,31.7,Non-addictive,30.0,437.9,34.2,3004.0,heavy_addictive,23
751,U105,2026-06-05,Friday,False,Evening,TikTok,For You Feed,Entertainment,Video,110.1,3,36.7,Desktop,False,2,100.0,Addictive,15.2,437.9,34.2,3004.0,heavy_addictive,23
752,U106,2026-06-05,Friday,False,Evening,Duolingo,,Skill-Development,App,16.7,1,16.7,Desktop,False,0,30.0,Non-addictive,,260.7,20.0,1743.2,heavy_addictive,23
753,U106,2026-06-05,Friday,False,Night,YouTube,Cooking Recipe,Self-Improvement,Video,3.4,2,1.7,Desktop,False,1,22.4,Non-addictive,52.1,260.7,20.0,1743.2,heavy_addictive,23
754,U106,2026-06-05,Friday,False,Afternoon,YouTube,Music Video Mix,Entertainment,Video,156.0,5,31.2,Desktop,True,5,91.8,Addictive,3.4,260.7,20.0,1743.2,heavy_addictive,23
755,U106,2026-06-05,Friday,False,Night,TikTok,For You Feed,Entertainment,Video,52.5,6,8.7,Mobile,True,6,100.0,Addictive,30.0,260.7,20.0,1743.2,heavy_addictive,23
756,U106,2026-06-05,Friday,False,Morning,Chrome,gmail,Productivity,Webmail,32.1,1,32.1,Mobile,False,0,15.9,Non-addictive,65.6,260.7,20.0,1743.2,heavy_addictive,23
757,U107,2026-06-05,Friday,False,Evening,WhatsApp,Family Group,Communication,Chat,13.9,2,6.9,Tablet,False,0,6.4,Non-addictive,,76.0,100.0,729.8,productive,23
758,U107,2026-06-05,Friday,False,Afternoon,Instagram,Reels Feed,Social Media,Video,17.6,1,17.6,Mobile,False,1,33.9,Non-addictive,11.5,76.0,100.0,729.8,productive,23
759,U107,2026-06-05,Friday,False,Night,Chrome,gmail,Productivity,Webmail,20.0,3,6.7,Desktop,False,0,6.2,Non-addictive,,76.0,100.0,729.8,productive,23
760,U107,2026-06-05,Friday,False,Evening,Netflix,Documentary,Self-Improvement,Video,21.3,2,10.7,Desktop,False,2,16.2,Non-addictive,16.8,76.0,100.0,729.8,productive,23
761,U107,2026-06-05,Friday,False,Morning,Netflix,Documentary,Self-Improvement,Video,3.2,3,1.1,Mobile,False,1,20.1,Non-addictive,21.3,76.0,100.0,729.8,productive,23
762,U108,2026-06-05,Friday,False,Evening,YouTube,Pokemon Gameplay,Entertainment,Video,41.7,5,8.3,Mobile,False,3,73.0,Addictive,20.9,228.6,40.1,895.7,balanced,23
763,U108,2026-06-05,Friday,False,Afternoon,Notion,,Productivity,Notes,39.1,1,39.1,Mobile,False,0,26.9,Non-addictive,3.0,228.6,40.1,895.7,balanced,23
764,U108,2026-06-05,Friday,False,Night,Notion,,Productivity,Notes,15.6,2,7.8,Desktop,False,1,8.5,Non-addictive,39.1,228.6,40.1,895.7,balanced,23
765,U108,2026-06-05,Friday,False,Morning,Instagram,DM Chats,Social Media,Chat,36.9,1,36.9,Desktop,False,1,18.4,Non-addictive,15.7,228.6,40.1,895.7,balanced,23
766,U108,2026-06-05,Friday,False,Afternoon,Candy Crush,,Games,Game,95.3,5,19.1,Mobile,True,2,81.4,Addictive,,228.6,40.1,895.7,balanced,23
767,U109,2026-06-05,Friday,False,Afternoon,YouTube,News Roundup,News,Video,27.9,1,27.9,Desktop,False,0,7.5,Non-addictive,,39.8,100.0,142.5,light_user,23
768,U109,2026-06-05,Friday,False,Evening,Free Fire,,Games,Game,11.9,1,11.9,Mobile,False,0,48.2,Non-addictive,,39.8,100.0,142.5,light_user,23
769,U110,2026-06-05,Friday,False,Evening,TikTok,For You Feed,Entertainment,Video,32.7,7,4.7,Mobile,True,2,100.0,Addictive,47.0,306.3,52.0,2942.3,heavy_addictive,23
770,U110,2026-06-05,Friday,False,Evening,Duolingo,,Skill-Development,App,8.8,1,8.8,Desktop,False,1,30.9,Non-addictive,,306.3,52.0,2942.3,heavy_addictive,23
771,U110,2026-06-05,Friday,False,Afternoon,VSCode,,Skill-Development,Code,34.3,1,34.3,Mobile,True,0,10.8,Non-addictive,3.0,306.3,52.0,2942.3,heavy_addictive,23
772,U110,2026-06-05,Friday,False,Afternoon,Notion,,Productivity,Notes,12.8,4,3.2,Desktop,False,0,18.9,Non-addictive,28.7,306.3,52.0,2942.3,heavy_addictive,23
773,U110,2026-06-05,Friday,False,Evening,Free Fire,,Games,Game,114.3,4,28.6,Desktop,True,3,100.0,Addictive,,306.3,52.0,2942.3,heavy_addictive,23
774,U110,2026-06-05,Friday,False,Afternoon,Khan Academy,,Study,Video,35.9,1,35.9,Desktop,True,0,9.3,Non-addictive,,306.3,52.0,2942.3,heavy_addictive,23
775,U110,2026-06-05,Friday,False,Evening,WhatsApp,Family Group,Communication,Chat,43.9,2,21.9,Desktop,True,2,19.8,Non-addictive,13.5,306.3,52.0,2942.3,heavy_addictive,23
776,U110,2026-06-05,Friday,False,Afternoon,Notion,,Productivity,Notes,23.6,1,23.6,Mobile,True,1,5.1,Non-addictive,12.8,306.3,52.0,2942.3,heavy_addictive,23
777,U111,2026-06-05,Friday,False,Afternoon,TikTok,For You Feed,Entertainment,Video,60.0,2,30.0,Mobile,False,0,43.1,Non-addictive,12.1,170.1,100.0,642.1,productive,23
778,U111,2026-06-05,Friday,False,Evening,Snapchat,Stories,Social Media,Video,22.2,2,11.1,Mobile,False,1,37.6,Non-addictive,,170.1,100.0,642.1,productive,23
779,U111,2026-06-05,Friday,False,Afternoon,YouTube,Cooking Recipe,Self-Improvement,Video,14.6,1,14.6,Desktop,False,0,21.4,Non-addictive,16.0,170.1,100.0,642.1,productive,23
780,U111,2026-06-05,Friday,False,Afternoon,YouTube,Cooking Recipe,Self-Improvement,Video,16.0,1,16.0,Mobile,False,1,7.9,Non-addictive,14.6,170.1,100.0,642.1,productive,23
781,U111,2026-06-05,Friday,False,Afternoon,Spotify,Chill Playlist,Entertainment,Audio,57.3,2,28.6,Desktop,False,1,5.3,Non-addictive,57.1,170.1,100.0,642.1,productive,23
782,U112,2026-06-05,Friday,False,Afternoon,TikTok,For You Feed,Entertainment,Video,39.3,1,39.3,Mobile,True,1,49.7,Non-addictive,4.2,95.3,100.0,576.2,productive,23
783,U112,2026-06-05,Friday,False,Morning,PUBG Mobile,,Games,Game,20.1,1,20.1,Tablet,False,1,45.7,Non-addictive,,95.3,100.0,576.2,productive,23
784,U112,2026-06-05,Friday,False,Night,WhatsApp,Family Group,Communication,Chat,3.0,2,1.5,Tablet,False,2,0.0,Non-addictive,12.1,95.3,100.0,576.2,productive,23
785,U112,2026-06-05,Friday,False,Night,YouTube,News Roundup,News,Video,26.7,1,26.7,Desktop,False,1,8.1,Non-addictive,19.7,95.3,100.0,576.2,productive,23
786,U112,2026-06-05,Friday,False,Evening,TikTok,For You Feed,Entertainment,Video,6.2,3,2.1,Desktop,False,3,45.0,Non-addictive,39.3,95.3,100.0,576.2,productive,23
787,U113,2026-06-05,Friday,False,Evening,Chrome,pornweb,Pornographic,Website,34.0,2,17.0,Mobile,False,5,100.0,Addictive,,292.3,60.7,2151.7,heavy_addictive,23
788,U113,2026-06-05,Friday,False,Afternoon,Chrome,news-site,News,Website,46.0,1,46.0,Desktop,False,0,37.3,Non-addictive,34.0,292.3,60.7,2151.7,heavy_addictive,23
789,U113,2026-06-05,Friday,False,Afternoon,Khan Academy,,Study,Video,21.9,1,21.9,Mobile,False,1,28.0,Non-addictive,17.5,292.3,60.7,2151.7,heavy_addictive,23
790,U113,2026-06-05,Friday,False,Evening,Duolingo,,Skill-Development,App,41.4,1,41.4,Mobile,False,0,25.9,Non-addictive,,292.3,60.7,2151.7,heavy_addictive,23
791,U113,2026-06-05,Friday,False,Afternoon,Notion,,Productivity,Notes,15.2,1,15.2,Desktop,False,0,11.4,Non-addictive,16.9,292.3,60.7,2151.7,heavy_addictive,23
792,U113,2026-06-05,Friday,False,Morning,Duolingo,,Skill-Development,App,52.9,3,17.6,Desktop,False,1,28.3,Non-addictive,41.4,292.3,60.7,2151.7,heavy_addictive,23
793,U113,2026-06-05,Friday,False,Evening,Chrome,pornweb,Pornographic,Website,80.9,2,40.5,Mobile,True,4,100.0,Addictive,46.0,292.3,60.7,2151.7,heavy_addictive,23
794,U114,2026-06-05,Friday,False,Afternoon,YouTube,Music Video Mix,Entertainment,Video,29.6,1,29.6,Desktop,True,3,100.0,Addictive,51.0,883.5,2.1,3149.3,heavy_addictive,23
795,U114,2026-06-05,Friday,False,Evening,PUBG Mobile,,Games,Game,65.8,2,32.9,Desktop,True,3,100.0,Addictive,24.3,883.5,2.1,3149.3,heavy_addictive,23
796,U114,2026-06-05,Friday,False,Evening,Snapchat,Stories,Social Media,Video,70.8,5,14.2,Mobile,True,1,100.0,Addictive,122.2,883.5,2.1,3149.3,heavy_addictive,23
797,U114,2026-06-05,Friday,False,Night,Candy Crush,,Games,Game,296.0,2,148.0,Mobile,False,3,100.0,Addictive,,883.5,2.1,3149.3,heavy_addictive,23
798,U114,2026-06-05,Friday,False,Night,Free Fire,,Games,Game,51.7,1,51.7,Mobile,False,8,100.0,Addictive,,883.5,2.1,3149.3,heavy_addictive,23
799,U114,2026-06-05,Friday,False,Morning,Chrome,gmail,Productivity,Webmail,18.9,1,18.9,Desktop,False,3,8.2,Non-addictive,124.2,883.5,2.1,3149.3,heavy_addictive,23
800,U114,2026-06-05,Friday,False,Evening,YouTube,Music Video Mix,Entertainment,Video,136.5,7,19.5,Mobile,True,2,98.1,Addictive,29.6,883.5,2.1,3149.3,heavy_addictive,23
801,U114,2026-06-05,Friday,False,Night,Netflix,TV Series Binge,Entertainment,Video,214.2,7,30.6,Tablet,True,4,100.0,Addictive,,883.5,2.1,3149.3,heavy_addictive,23
802,U115,2026-06-05,Friday,False,Afternoon,Spotify,Chill Playlist,Entertainment,Audio,8.3,2,4.1,Mobile,True,1,38.2,Non-addictive,4.2,391.7,14.5,2234.0,heavy_addictive,23
803,U115,2026-06-05,Friday,False,Afternoon,YouTube,Pokemon Gameplay,Entertainment,Video,33.2,1,33.2,Mobile,False,5,100.0,Addictive,28.4,391.7,14.5,2234.0,heavy_addictive,23
804,U115,2026-06-05,Friday,False,Night,YouTube,Prank Compilation,Entertainment,Video,87.6,3,29.2,Mobile,True,5,100.0,Addictive,33.2,391.7,14.5,2234.0,heavy_addictive,23
805,U115,2026-06-05,Friday,False,Afternoon,WhatsApp,Family Group,Communication,Chat,18.3,2,9.1,Desktop,False,2,28.5,Non-addictive,35.9,391.7,14.5,2234.0,heavy_addictive,23
806,U115,2026-06-05,Friday,False,Evening,PUBG Mobile,,Games,Game,96.7,1,96.7,Mobile,True,4,100.0,Addictive,,391.7,14.5,2234.0,heavy_addictive,23
807,U115,2026-06-05,Friday,False,Afternoon,TikTok,For You Feed,Entertainment,Video,74.5,1,74.5,Desktop,False,1,100.0,Addictive,,391.7,14.5,2234.0,heavy_addictive,23
808,U115,2026-06-05,Friday,False,Afternoon,TikTok,For You Feed,Entertainment,Video,42.9,3,14.3,Desktop,False,8,100.0,Addictive,74.5,391.7,14.5,2234.0,heavy_addictive,23
809,U115,2026-06-05,Friday,False,Afternoon,Coursera,,Study,Video,30.2,1,30.2,Desktop,False,2,21.9,Non-addictive,,391.7,14.5,2234.0,heavy_addictive,23
810,U116,2026-06-05,Friday,False,Morning,Instagram,DM Chats,Social Media,Chat,17.1,1,17.1,Desktop,False,2,24.6,Non-addictive,,140.9,72.3,1055.6,balanced,23
811,U116,2026-06-05,Friday,False,Afternoon,Chrome,online-shopping,Shopping,Website,21.1,1,21.1,Desktop,False,0,49.6,Non-addictive,6.0,140.9,72.3,1055.6,balanced,23
812,U116,2026-06-05,Friday,False,Morning,Spotify,Chill Playlist,Entertainment,Audio,16.6,3,5.5,Mobile,False,1,19.6,Non-addictive,24.4,140.9,72.3,1055.6,balanced,23
813,U116,2026-06-05,Friday,False,Night,TikTok,For You Feed,Entertainment,Video,39.0,1,39.0,Desktop,False,2,85.9,Addictive,26.1,140.9,72.3,1055.6,balanced,23
814,U116,2026-06-05,Friday,False,Evening,WhatsApp,Family Group,Communication,Chat,47.1,3,15.7,Mobile,False,1,0.6,Non-addictive,18.3,140.9,72.3,1055.6,balanced,23
815,U117,2026-06-05,Friday,False,Evening,PUBG Mobile,,Games,Game,28.4,8,3.5,Desktop,False,2,87.9,Addictive,39.3,137.8,0.0,1072.3,balanced,23
816,U117,2026-06-05,Friday,False,Afternoon,YouTube,Pokemon Gameplay,Entertainment,Video,19.9,4,5.0,Mobile,False,2,82.3,Addictive,7.8,137.8,0.0,1072.3,balanced,23
817,U117,2026-06-05,Friday,False,Evening,Candy Crush,,Games,Game,44.4,2,22.2,Mobile,True,2,83.1,Addictive,32.7,137.8,0.0,1072.3,balanced,23
818,U117,2026-06-05,Friday,False,Night,Chrome,online-shopping,Shopping,Website,45.1,1,45.1,Mobile,False,4,56.3,Addictive,,137.8,0.0,1072.3,balanced,23
819,U118,2026-06-05,Friday,False,Evening,YouTube,Yoga Tutorial,Self-Improvement,Video,8.5,1,8.5,Desktop,False,1,24.4,Non-addictive,28.2,148.8,100.0,927.1,balanced,23
820,U118,2026-06-05,Friday,False,Evening,YouTube,News Roundup,News,Video,60.4,1,60.4,Mobile,False,1,23.5,Non-addictive,8.5,148.8,100.0,927.1,balanced,23
821,U118,2026-06-05,Friday,False,Afternoon,Khan Academy,,Study,Video,71.8,1,71.8,Mobile,False,0,15.7,Non-addictive,,148.8,100.0,927.1,balanced,23
822,U118,2026-06-05,Friday,False,Afternoon,YouTube,Study Lecture - Physics,Study,Video,8.1,1,8.1,Desktop,False,0,21.3,Non-addictive,60.4,148.8,100.0,927.1,balanced,23
823,U119,2026-06-05,Friday,False,Afternoon,YouTube,Cooking Recipe,Self-Improvement,Video,23.5,1,23.5,Mobile,False,1,19.1,Non-addictive,60.3,206.9,21.6,1315.6,balanced,23
824,U119,2026-06-05,Friday,False,Evening,Instagram,Reels Feed,Social Media,Video,60.1,5,12.0,Mobile,True,1,89.2,Addictive,22.7,206.9,21.6,1315.6,balanced,23
825,U119,2026-06-05,Friday,False,Night,YouTube,Pokemon Gameplay,Entertainment,Video,102.2,3,34.1,Mobile,False,4,77.8,Addictive,23.5,206.9,21.6,1315.6,balanced,23
826,U119,2026-06-05,Friday,False,Morning,Duolingo,,Skill-Development,App,21.1,2,10.5,Tablet,False,2,23.1,Non-addictive,,206.9,21.6,1315.6,balanced,23
827,U120,2026-06-05,Friday,False,Afternoon,Spotify,Chill Playlist,Entertainment,Audio,18.5,1,18.5,Mobile,False,0,19.0,Non-addictive,,155.9,42.4,1008.8,balanced,23
828,U120,2026-06-05,Friday,False,Night,TikTok,For You Feed,Entertainment,Video,89.8,3,29.9,Tablet,False,3,93.8,Addictive,7.5,155.9,42.4,1008.8,balanced,23
829,U120,2026-06-05,Friday,False,Afternoon,Chrome,random-blog,Entertainment,Website,39.8,1,39.8,Desktop,False,0,18.0,Non-addictive,8.4,155.9,42.4,1008.8,balanced,23
830,U120,2026-06-05,Friday,False,Night,Chrome,news-site,News,Website,7.8,1,7.8,Mobile,True,0,25.4,Non-addictive,39.8,155.9,42.4,1008.8,balanced,23
831,U121,2026-06-05,Friday,False,Night,Duolingo,,Skill-Development,App,9.7,1,9.7,Mobile,False,1,21.4,Non-addictive,,233.8,15.7,2010.3,heavy_addictive,23
832,U121,2026-06-05,Friday,False,Evening,Chrome,online-shopping,Shopping,Website,66.2,6,11.0,Desktop,True,6,96.5,Addictive,7.3,233.8,15.7,2010.3,heavy_addictive,23
833,U121,2026-06-05,Friday,False,Evening,Chrome,pornweb,Pornographic,Website,49.2,4,12.3,Mobile,False,6,100.0,Addictive,66.2,233.8,15.7,2010.3,heavy_addictive,23
834,U121,2026-06-05,Friday,False,Afternoon,Instagram,DM Chats,Social Media,Chat,11.7,1,11.7,Tablet,False,0,48.6,Non-addictive,42.2,233.8,15.7,2010.3,heavy_addictive,23
835,U121,2026-06-05,Friday,False,Morning,Instagram,DM Chats,Social Media,Chat,15.4,1,15.4,Mobile,False,2,31.2,Non-addictive,11.7,233.8,15.7,2010.3,heavy_addictive,23
836,U121,2026-06-05,Friday,False,Evening,YouTube,Prank Compilation,Entertainment,Video,81.6,2,40.8,Mobile,True,4,100.0,Addictive,8.3,233.8,15.7,2010.3,heavy_addictive,23
837,U122,2026-06-05,Friday,False,Evening,YouTube,Music Video Mix,Entertainment,Video,21.5,4,5.4,Desktop,True,0,63.3,Addictive,17.8,223.8,20.3,905.4,balanced,23
838,U122,2026-06-05,Friday,False,Afternoon,Spotify,Chill Playlist,Entertainment,Audio,15.6,2,7.8,Mobile,False,2,16.7,Non-addictive,23.4,223.8,20.3,905.4,balanced,23
839,U122,2026-06-05,Friday,False,Evening,Spotify,Chill Playlist,Entertainment,Audio,5.5,1,5.5,Desktop,False,3,15.1,Non-addictive,15.6,223.8,20.3,905.4,balanced,23
840,U122,2026-06-05,Friday,False,Evening,Duolingo,,Skill-Development,App,24.3,1,24.3,Desktop,True,0,15.3,Non-addictive,9.2,223.8,20.3,905.4,balanced,23
841,U122,2026-06-05,Friday,False,Evening,PUBG Mobile,,Games,Game,156.9,5,31.4,Desktop,False,1,73.5,Addictive,,223.8,20.3,905.4,balanced,23
842,U123,2026-06-05,Friday,False,Afternoon,YouTube,Study Lecture - Physics,Study,Video,4.3,2,2.2,Mobile,False,0,9.3,Non-addictive,30.0,113.6,6.4,727.6,balanced,23
